kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11603298,K05920.01,,0,0,,471.39698,247.0802,0.3379,10.714,329.9,1.87,265.0,1.16,13.1,1.0,q1_q16_tce,6587.0,4.463,1.008,287.65161,49.686501,13.731
11614808,K05921.01,,1,1,,175.452812,204.8241,0.1526,2.734,141.8,3.96,591.0,28.77,6.1,1.0,q1_q16_tce,6184.0,3.58,3.304,293.96027,49.619312,13.086
11615258,K05922.01,,1,1,0.0,367.07446,182.838,0.093,5.887,368.3,2.15,287.0,1.59,6.6,1.0,q1_q17_dr25_tce,6315.0,4.407,1.116,294.15775,49.614971,14.666
11615521,K05923.01,,1,1,,366.684634,315.09143,0.5294,3.284,456.3,10.75,444.0,9.18,9.1,1.0,q1_q16_tce,5090.0,3.353,4.962,294.27182,49.633869,13.026
11616434,K05924.01,,1,1,,291.306507,362.2906,0.3377,2.91,1132.0,2.49,219.0,0.54,7.1,1.0,q1_q16_tce,5031.0,4.548,0.748,294.69086,49.626991,15.789
11651240,K05925.01,,1,1,,93.006,144.36,0.4428,2.461,125.4,1.97,503.0,15.18,6.7,1.0,q1_q16_tce,5518.0,3.973,1.742,285.40842,49.763641,12.979
11654039,K05927.01,,0,0,,436.42852,452.2705,0.3772,13.8,163.9,1.26,245.0,0.86,9.2,1.0,q1_q16_tce,5997.0,4.466,0.971,287.29846,49.703049,13.298
11716643,K05929.01,,1,1,0.939,466.002988,435.01156,0.867,10.278,2363.6,4.92,223.0,0.58,42.3,1.0,q1_q17_dr25_tce,5830.0,4.54,0.876,293.86526,49.800289,14.692
11722217,K05930.01,,1,1,,302.77571,323.5739,0.1265,3.183,1106.0,1.0,106.0,0.03,7.1,1.0,q1_q16_tce,3358.0,4.944,0.303,296.2525,49.886559,15.755
11803074,K05932.01,,1,1,0.902,355.86134,358.0075,0.003,23.39,1220.7,2.79,233.0,0.7,15.2,1.0,q1_q17_dr25_tce,5736.0,4.576,0.801,285.33783,50.066132,15.887
11807906,K05933.01,,1,1,,236.506437,361.9687,0.1474,5.004,744.4,10.37,480.0,12.54,10.6,1.0,q1_q16_tce,5066.0,3.414,3.9,288.43665,50.075722,13.856
11811382,K05934.01,,1,1,,19.3854894,142.34859,0.0074,1.031,4560.0,6.13,632.0,37.73,2.7,1.0,q1_q17_dr24_tce,5432.0,4.42,0.913,290.36365,50.052608,13.891
11824578,K05937.01,,1,1,,357.588538,250.4138,0.1542,3.367,344.8,3.53,420.0,7.38,7.2,1.0,q1_q16_tce,7435.0,4.082,1.876,296.7554,50.055271,13.382
11860294,K05938.01,,1,1,,545.205601,237.24091,0.3515,3.296,199.7,1.66,257.0,1.03,7.1,1.0,q1_q16_tce,6273.0,4.345,1.155,289.65347,50.12801,12.812
11868941,K05939.01,,1,1,,105.053389,208.7282,0.2199,1.988,176.7,1.52,449.0,9.61,5.8,1.0,q1_q16_tce,6471.0,4.392,1.13,294.35275,50.185989,13.724
11905398,K05940.01,,1,1,0.383,24.7967294,131.91,0.952,4.278,970.5,3.14,537.0,19.62,13.8,1.0,q1_q17_dr25_tce,5496.0,4.592,0.776,286.48987,50.230068,15.627
11910670,K05941.01,,1,1,,44.7060191,154.40282,1.6552,0.25,292.0,60.47,465.0,11.01,6.6,1.0,q1_q16_tce,5509.0,4.482,0.811,289.65152,50.282619,13.783
11911929,K05942.01,,1,1,,125.277815,170.8865,0.131,4.442,432.3,15.75,799.0,96.53,11.0,1.0,q1_q16_tce,5119.0,2.961,7.738,290.3689,50.27055,13.325
11923213,K05943.01,,1,1,0.4,27.2020672,151.86606,0.223,1.811,180.3,1.87,719.0,63.31,8.7,1.0,q1_q17_dr25_tce,5869.0,4.175,1.396,296.20459,50.236328,14.172
11959893,K05945.01,,1,1,,40.7282314,162.1513,0.9828,13.677,221.8,4.58,829.0,111.83,19.4,1.0,q1_q16_tce,6531.0,3.936,2.231,289.58356,50.348137,12.717
12007270,K05948.01,,1,1,,398.51312,165.2177,0.5091,5.41,249.2,1.23,222.0,0.58,5.9,1.0,q1_q16_tce,5776.0,4.596,0.759,288.18256,50.49836,13.843
12009917,K05949.01,,1,1,,559.785594,433.1966,0.411,3.496,274.8,1.88,249.0,0.92,7.3,1.0,q1_q16_tce,6201.0,4.352,1.111,289.68549,50.409229,13.295
12020376,K05950.01,,1,1,,109.43946,223.4128,0.0905,3.801,187.1,1.0,314.0,2.31,7.3,1.0,q1_q16_tce,5359.0,4.611,0.741,295.4801,50.42128,13.718
12071775,K05952.01,,1,1,,164.507439,212.7605,0.3819,11.428,433.8,2.15,346.0,3.39,11.7,1.0,q1_q16_tce,5866.0,4.382,1.02,296.40887,50.585171,15.025
12102775,K05953.01,,1,1,,370.84786,260.7921,0.8847,13.966,1440.0,4.03,219.0,0.54,15.2,1.0,q1_q16_tce,5291.0,4.539,0.886,286.39944,50.625679,15.479
12105086,K05954.01,,1,1,,73.908995,159.8067,0.4947,3.916,100.5,0.94,421.0,7.44,7.0,1.0,q1_q16_tce,5865.0,4.518,0.918,288.05573,50.65369,13.144
12121701,K05956.01,,1,1,,212.646179,221.6137,0.1739,2.539,953.0,3.19,321.0,2.5,5.4,1.0,q1_q16_tce,6108.0,4.466,1.03,296.90057,50.628059,15.611
12168895,K05959.01,,1,1,,251.48808,192.461,0.8011,6.8,305.0,1.74,284.0,1.55,6.4,1.0,q1_q16_tce,5979.0,4.52,0.902,296.24155,50.78051,14.495
12170767,K05960.01,,1,1,,32.4185265,161.4252,0.7105,5.154,110.7,1.62,687.0,52.7,7.9,1.0,q1_q16_tce,5622.0,4.044,1.441,297.0217,50.769112,13.325
12253490,K05961.01,,1,1,0.0,19.159760875,141.5680129,1.191,3.10166,32491.0,25.24,424.0,7.65,900.3,1.0,q1_q17_dr25_tce,4492.0,4.727,0.516,288.64325,50.90118,15.053
12300524,K05964.01,,1,1,0.832,32.033211,146.8143,0.007,5.289,71.3,0.85,591.0,28.78,9.2,1.0,q1_q17_dr25_tce,6039.0,4.478,1.005,287.09006,51.01606,13.186
12349560,K05965.01,,1,1,0.37,43.3975622,153.934,0.08,3.908,585.3,1.69,388.0,5.35,8.6,1.0,q1_q17_dr25_tce,4871.0,4.608,0.725,286.93784,51.123508,15.944
10967168,K05845.01,,1,1,1.0,22.2659599,144.87,0.03,4.816,61.3,1.18,896.0,152.29,8.3,1.0,q1_q17_dr25_tce,6888.0,4.223,1.492,287.37283,48.465542,11.299
10977671,K05846.01,,1,1,0.433,199.064336,180.0893,0.763,13.623,265.0,6.12,483.0,12.81,15.4,1.0,q1_q17_dr25_tce,5157.0,3.541,3.436,292.81577,48.422169,14.323
10978581,K05847.01,,1,1,,277.114286,196.18868,0.0288,3.926,567.1,17.56,605.0,31.66,10.4,1.0,q1_q16_tce,5117.0,2.986,7.549,293.26508,48.426399,12.348
10979952,K05848.01,,1,1,,323.159363,149.1299,0.0504,2.427,368.6,3.41,331.0,2.83,7.4,1.0,q1_q16_tce,5251.0,3.872,1.811,293.88602,48.469292,13.789
10989620,K05849.01,,1,1,,21.512259,139.0225,0.1017,4.337,131.3,1.13,639.0,39.45,7.1,1.0,q1_q16_tce,5611.0,4.424,0.997,297.61707,48.408089,14.489
10991389,K05850.01,,1,1,,303.226376,344.05409,0.1097,1.802,1464.0,3.66,274.0,1.33,12.7,1.0,q1_q17_dr24_tce,5952.0,4.469,0.955,298.29181,48.465691,14.897
12401859,K05967.01,,1,1,,22.8631517,143.1523,0.1918,1.659,103.3,4.84,1112.0,361.26,8.5,1.0,q1_q16_tce,5043.0,3.339,4.874,288.142,51.245602,12.26
